Scrub_dc_no,Year,Week
41,2021,1
76,2021,1
41,2021,1
41,2021,1
41,2021,1
98,2021,1
98,2021,1
76,2021,1
78,2021,2
76,2021,2
41,2021,2
65,2021,2
78,2021,2
41,2021,2
3,2021,2
78,2021,3
41,2021,3
64,2021,3
78,2021,3
65,2021,3
41,2021,3
41,2021,3
65,2021,4
64,2021,4
92,2021,4
64,2021,4
3,2021,4
65,2021,4
3,2021,4
98,2021,5
3,2021,5
3,2021,5
76,2021,5
64,2021,5
78,2021,5
3,2021,5
3,2021,5
78,2021,6
76,2021,6
98,2021,6
78,2021,6
41,2021,6
98,2021,6
92,2021,6
3,2021,6
78,2021,7
76,2021,7
76,2021,7
3,2021,7
78,2021,7
92,2021,7
92,2021,7
92,2021,7
65,2021,8
78,2021,8
78,2021,8
41,2021,8
76,2021,8
41,2021,8
98,2021,8
65,2021,8
65,2021,9
65,2021,9
41,2021,9
65,2021,9
92,2021,9
64,2021,9
3,2021,9
65,2021,9
3,2021,10
41,2021,10
3,2021,10
64,2021,10
92,2021,10
3,2021,10
3,2021,10
65,2021,10
78,2021,11
98,2021,11
78,2021,11
64,2021,11
76,2021,11
78,2021,11
92,2021,11
78,2021,11
3,2021,12
92,2021,12
3,2021,12
64,2021,12
78,2021,12
78,2021,12
3,2021,12
64,2021,12
76,2021,13
76,2021,13
98,2021,13
76,2021,13
64,2021,13
41,2021,13
98,2021,13
41,2021,13
78,2021,14
64,2021,14
78,2021,14
3,2021,14
78,2021,14
3,2021,14
64,2021,14
65,2021,14
76,2021,15
76,2021,15
98,2021,15
78,2021,15
64,2021,15
76,2021,15
65,2021,15
78,2021,15
41,2021,16
76,2021,16
65,2021,16
64,2021,16
98,2021,16
64,2021,16
78,2021,16
78,2021,16
65,2021,17
76,2021,17
65,2021,17
41,2021,17
64,2021,17
65,2021,17
78,2021,17
76,2021,17
92,2021,19
3,2021,19
3,2021,19
78,2021,19
98,2021,19
98,2021,19
98,2021,19
78,2021,19
64,2021,20
65,2021,20
92,2021,20
76,2021,20
92,2021,20
65,2021,20
92,2021,20
3,2021,20
64,2021,21
78,2021,21
41,2021,21
41,2021,21
92,2021,21
64,2021,21
64,2021,21
3,2021,21
41,2021,22
92,2021,22
78,2021,22
64,2021,22
78,2021,22
78,2021,22
3,2021,22
92,2021,22
41,2021,23
3,2021,23
3,2021,23
65,2021,23
98,2021,23
78,2021,23
65,2021,23
41,2021,23
3,2021,24
64,2021,24
92,2021,24
76,2021,24
65,2021,24
41,2021,24
92,2021,24
92,2021,24
98,2021,25
98,2021,25
41,2021,25
92,2021,25
64,2021,25
92,2021,25
64,2021,25
92,2021,25
76,2021,26
65,2021,26
92,2021,26
41,2021,26
78,2021,26
98,2021,26
92,2021,26
92,2021,26
92,2021,27
64,2021,27
64,2021,27
64,2021,27
92,2021,27
98,2021,27
3,2021,27
92,2021,27
65,2021,28
98,2021,28
78,2021,28
64,2021,28
78,2021,28
64,2021,28
64,2021,28
41,2021,28
64,2021,29
64,2021,29
78,2021,29
3,2021,29
65,2021,29
92,2021,29
3,2021,29
76,2021,29
78,2021,30
92,2021,30
41,2021,30
76,2021,30
92,2021,30
3,2021,30
65,2021,30
92,2021,30
3,2021,31
78,2021,31
64,2021,31
92,2021,31
65,2021,31
65,2021,31
98,2021,31
98,2021,31
41,2021,32
3,2021,32
76,2021,32
3,2021,32
41,2021,32
65,2021,32
3,2021,32
76,2021,32
64,2021,33
64,2021,33
98,2021,33
41,2021,33
78,2021,33
76,2021,33
41,2021,33
92,2021,33
65,2021,34
41,2021,34
65,2021,34
92,2021,34
3,2021,34
78,2021,34
76,2021,34
98,2021,34
65,2021,35
92,2021,35
98,2021,35
65,2021,35
64,2021,35
65,2021,35
92,2021,35
64,2021,35
76,2021,36
98,2021,36
92,2021,36
92,2021,36
3,2021,36
98,2021,36
64,2021,36
64,2021,36
92,2021,37
41,2021,37
65,2021,37
64,2021,37
92,2021,37
76,2021,37
92,2021,37
64,2021,37
92,2021,38
41,2021,38
64,2021,38
98,2021,38
3,2021,38
65,2021,38
41,2021,38
78,2021,38
78,2021,39
3,2021,39
65,2021,39
78,2021,39
65,2021,39
78,2021,39
3,2021,39
65,2021,39
64,2021,40
64,2021,40
65,2021,40
76,2021,40
98,2021,40
41,2021,40
41,2021,40
76,2021,40
78,2021,41
41,2021,41
3,2021,41
3,2021,41
65,2021,41
98,2021,41
64,2021,41
92,2021,41
78,2021,42
92,2021,42
65,2021,42
64,2021,42
3,2021,42
92,2021,42
41,2021,42
78,2021,42
41,2021,43
78,2021,43
92,2021,43
65,2021,43
98,2021,43
64,2021,43
76,2021,43
78,2021,43
64,2021,45
3,2021,45
41,2021,45
98,2021,45
98,2021,45
98,2021,45
64,2021,45
78,2021,45
64,2021,46
92,2021,46
41,2021,46
92,2021,46
76,2021,46
76,2021,46
3,2021,46
78,2021,46
65,2021,48
64,2021,48
3,2021,48
76,2021,48
65,2021,48
3,2021,48
65,2021,48
76,2021,48
65,2021,49
65,2021,49
78,2021,49
64,2021,49
3,2021,49
65,2021,49
92,2021,49
65,2021,49
78,2021,50
78,2021,50
64,2021,50
41,2021,50
41,2021,50
78,2021,50
41,2021,50
76,2021,50
92,2021,51
78,2021,51
3,2021,51
92,2021,51
65,2021,51
65,2021,51
98,2021,51
41,2021,51
3,2021,52
41,2021,52
3,2021,52
65,2021,52
98,2021,52
41,2021,52
65,2021,52
78,2021,52
