SCRUB_DC_NO,SCRUB_Category_no,Year,Week
76,75,2021,35
76,318,2021,35
76,240,2021,35
76,304,2021,35
76,19,2021,35
76,112,2021,35
76,245,2021,35
76,93,2021,35
76,146,2021,35
76,116,2021,35
76,54,2021,35
76,274,2021,35
76,279,2021,35
76,15,2021,35
76,92,2021,35
76,131,2021,35
76,6,2021,35
76,22,2021,35
76,172,2021,35
76,106,2021,35
76,31,2021,35
76,214,2021,35
76,147,2021,35
76,63,2021,35
76,47,2021,35
76,341,2021,35
76,182,2021,35
76,6,2021,35
76,274,2021,35
76,107,2021,35
76,273,2021,35
76,191,2021,35
76,99,2021,35
76,282,2021,35
76,23,2021,35
76,238,2021,35
76,22,2021,35
76,305,2021,35
76,99,2021,35
76,202,2021,35
76,172,2021,35
76,3,2021,35
76,307,2021,35
76,316,2021,35
76,326,2021,35
76,96,2021,35
76,38,2021,35
76,303,2021,35
76,270,2021,35
76,157,2021,35
76,248,2021,35
76,35,2021,35
76,130,2021,35
76,105,2021,35
76,218,2021,35
76,270,2021,35
76,95,2021,35
76,335,2021,35
76,7,2021,35
76,110,2021,35
76,41,2021,35
76,321,2021,35
76,289,2021,35
76,14,2021,35
76,102,2021,35
76,298,2021,35
76,121,2021,35
76,155,2021,35
76,309,2021,35
76,92,2021,35
76,222,2021,35
76,42,2021,35
76,308,2021,35
76,4,2021,35
76,253,2021,35
76,337,2021,35
76,209,2021,35
76,257,2021,35
76,70,2021,35
76,89,2021,35
76,82,2021,35
76,28,2021,35
76,243,2021,35
76,42,2021,35
76,294,2021,35
76,149,2021,35
76,218,2021,35
76,108,2021,35
76,6,2021,35
76,303,2021,35
76,130,2021,35
76,134,2021,35
76,10,2021,35
76,89,2021,35
76,172,2021,35
76,56,2021,35
76,13,2021,35
76,335,2021,35
76,297,2021,35
76,305,2021,35
76,224,2021,35
76,118,2021,35
76,144,2021,35
76,237,2021,35
76,185,2021,35
76,261,2021,35
76,86,2021,35
76,158,2021,35
76,22,2021,35
76,241,2021,35
76,220,2021,35
76,33,2021,35
76,37,2021,35
76,94,2021,35
76,286,2021,35
76,334,2021,35
76,98,2021,35
76,266,2021,35
76,133,2021,35
76,200,2021,35
76,139,2021,35
76,149,2021,35
76,18,2021,35
76,253,2021,35
76,43,2021,35
76,264,2021,35
76,44,2021,35
76,101,2021,35
76,319,2021,35
76,87,2021,35
76,63,2021,35
76,277,2021,35
76,27,2021,35
76,132,2021,35
76,111,2021,35
76,203,2021,35
76,199,2021,35
76,321,2021,35
76,289,2021,35
76,157,2021,35
76,347,2021,35
76,20,2021,35
76,78,2021,35
76,155,2021,35
76,311,2021,35
76,50,2021,35
76,115,2021,35
76,234,2021,35
76,13,2021,35
76,146,2021,35
76,198,2021,35
76,298,2021,35
76,269,2021,35
76,15,2021,35
76,314,2021,35
76,156,2021,35
76,277,2021,35
76,314,2021,35
76,60,2021,35
76,311,2021,35
76,115,2021,35
76,326,2021,35
76,192,2021,35
76,211,2021,35
76,254,2021,35
76,202,2021,35
76,21,2021,35
76,89,2021,35
76,61,2021,35
76,97,2021,35
76,42,2021,35
76,272,2021,35
76,19,2021,35
76,28,2021,35
76,100,2021,35
76,182,2021,35
76,139,2021,35
76,283,2021,35
76,325,2021,35
76,56,2021,35
76,150,2021,35
76,116,2021,35
76,324,2021,35
76,165,2021,35
76,131,2021,35
76,305,2021,35
76,36,2021,35
76,209,2021,35
76,257,2021,35
76,253,2021,35
76,17,2021,35
76,256,2021,35
76,188,2021,35
76,313,2021,35
76,218,2021,35
76,147,2021,35
76,96,2021,35
76,179,2021,35
76,255,2021,35
76,215,2021,35
76,145,2021,35
76,88,2021,35
76,182,2021,35
76,275,2021,35
76,209,2021,35
76,265,2021,35
76,324,2021,35
76,240,2021,35
76,331,2021,35
76,49,2021,35
76,216,2021,35
76,12,2021,35
76,268,2021,35
76,168,2021,35
76,237,2021,35
76,343,2021,35
76,127,2021,35
76,72,2021,36
76,58,2021,36
76,258,2021,36
76,34,2021,36
76,264,2021,36
76,254,2021,36
76,73,2021,36
76,54,2021,36
76,201,2021,36
76,112,2021,36
76,183,2021,36
76,303,2021,36
76,67,2021,36
76,258,2021,36
76,78,2021,36
76,242,2021,36
76,39,2021,36
76,94,2021,36
76,286,2021,36
76,93,2021,36
76,6,2021,36
76,332,2021,36
76,167,2021,36
76,326,2021,36
76,293,2021,36
76,233,2021,36
76,181,2021,36
76,248,2021,36
76,240,2021,36
76,138,2021,36
76,323,2021,36
76,340,2021,36
76,251,2021,36
76,310,2021,36
76,185,2021,36
76,59,2021,36
76,129,2021,36
76,178,2021,36
76,194,2021,36
76,237,2021,36
76,127,2021,36
76,36,2021,36
76,120,2021,36
76,110,2021,36
76,29,2021,36
76,140,2021,36
76,235,2021,36
76,315,2021,36
76,90,2021,36
76,153,2021,36
76,220,2021,36
76,219,2021,36
76,121,2021,36
76,213,2021,36
76,141,2021,36
76,142,2021,36
76,59,2021,36
76,115,2021,36
76,274,2021,36
76,288,2021,36
76,107,2021,36
76,286,2021,36
76,18,2021,36
76,108,2021,36
76,140,2021,36
76,339,2021,36
76,59,2021,36
76,240,2021,36
76,254,2021,36
76,126,2021,36
76,2,2021,36
76,251,2021,36
76,143,2021,36
76,54,2021,36
76,225,2021,36
76,214,2021,36
76,326,2021,36
76,206,2021,36
76,130,2021,36
76,310,2021,36
76,193,2021,36
76,92,2021,36
76,94,2021,36
76,108,2021,36
76,115,2021,36
76,332,2021,36
76,130,2021,36
76,140,2021,36
76,153,2021,36
76,176,2021,36
76,282,2021,36
76,179,2021,36
76,191,2021,36
76,318,2021,36
76,260,2021,36
76,202,2021,36
76,171,2021,36
76,26,2021,36
76,227,2021,36
76,174,2021,36
76,156,2021,36
76,329,2021,36
76,302,2021,36
76,209,2021,36
76,69,2021,36
76,270,2021,36
76,90,2021,36
76,114,2021,36
76,262,2021,36
76,249,2021,36
76,140,2021,36
76,211,2021,36
